Bedroom,Bathroom,Property Size,Ad List,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,Firm Type,Firm Number,REN Number,Park,School,price
3.0,2.0,750.0,103792599,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Flat Sri Lanang (Desa Tebrau),Ideal Property Group,Freehold,"Taman Desa Tebrau, Johor Bahru, Johor",2014.0,20.0,462.0,Flat,1.0,High,Non Bumi Lot,E,11536,REN 00000,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,145000
3.0,2.0,800.0,103792570,"Swimming Pool, Parking, Security, Lift",Ria Apartment (Butterworth),Thong Sin Group,Freehold,"Lebuh Kampung Benggali, Butterworth, Penang",2014.0,20.0,242.0,Apartment,1.0,High,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,255000
3.0,2.0,680.0,103792559,"Minimart, Parking, Security, Lift, Multipurpose hall, Playground",Halaman Kenanga,The Penang Development Corporation,Leasehold,"Jalan Bukit Gambier, Gelugor, Penang",2014.0,22.0,714.0,Apartment,1.0,Low,Non Bumi Lot,E,31402,REN 39050,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,225000
3.0,2.0,850.0,100924995,"Swimming Pool, Gymnasium, Minimart, Playground, Parking, Jogging Track, Sauna, Security, Lift",D'Cassia Apartment,SP Setia Berhad,Freehold,"Jalan Ecohill 1/2, Semenyih, Selangor",2019.0,20.0,635.0,Apartment,2.0,Medium,Non Bumi Lot,E,11572,REN 42028,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,240000
2.0,1.0,550.0,95208072,"Jogging Track, Lift, Club house, Multipurpose hall, Security, Minimart, Playground, Swimming Pool, Gymnasium, Squash Court, Parking, Sauna, Tennis Court",Tropicana Bay Residences @ PWC,Tropicana Ivory Sdn. Bhd.,Freehold,"Penang WorldCity Sales Gallery, Bayan Lepas, Penang",2017.0,22.0,1343.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,550000
2.0,1.0,615.0,103041062,"Tennis Court, Squash Court, Lift, Multipurpose hall, Club house, Parking, Swimming Pool, Playground, Gymnasium, Jogging Track, Sauna, Security, Minimart",Tropicana Bay Residences @ PWC,Tropicana Ivory Sdn. Bhd.,Freehold,"Penang WorldCity Sales Gallery, Bayan Lepas, Penang",2017.0,22.0,1343.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,550000
3.0,2.0,872.0,101762518,"Minimart, Jogging Track, Sauna, Club house, Security, Playground, Gymnasium, Squash Court, Lift, Parking, Swimming Pool, Tennis Court, Multipurpose hall",Tropicana Bay Residences @ PWC,Tropicana Ivory Sdn. Bhd.,Freehold,"Penang WorldCity Sales Gallery, Bayan Lepas, Penang",2017.0,22.0,1343.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,595000
3.0,2.0,951.0,103637604,"Sauna, Multipurpose hall, Parking, Security, Jogging Track, Barbeque area, Swimming Pool, Gymnasium, Lift, Playground, Minimart, Club house",Symphony Tower,Mitraland Group,Freehold,"Taman Cheras Jaya, Balakong, Selangor",2018.0,42.0,1675.0,Service Residence,1.0,Medium,Non Bumi Lot,E,11584,REN 61244,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,445000
3.0,2.0,650.0,103470225,"Lift, Parking, Playground, Minimart",Pangsapuri Desa Sepakat,Ideal Property Group,Leasehold,"Jln Medan 32, Tmn Medan Baru, Petaling Jaya, Selangor",2014.0,20.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 61244,"Park at Kinrara Ria Apartments, Subang Jaya
Park at Flat Taman Kinrara, Subang Jaya
Park at Mawar Flat Playground, Taman Mawar
Park at Taman Kinrara Seksyen 2, Subang Jaya
Park at Taman Kinrara Seksyen 1, Subang Jaya","KAFA Integrasi Al-Islah
Sekolah Menengah Kebangsaan Taman Medan
Sekolah Kebangsaan Taman Dato Harun 1
Sekolah Menengah Kebangsaan Taman Dato Harun",169999
3.0,2.0,807.0,103658209,"Security, Parking, Lift, Minimart, Playground",Pangsapuri Salvia,Ideal Property Group,Leasehold,"Jalan Kenyalang 11/3, Kota Damansara, Selangor",2005.0,6.0,462.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 61244,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,305000
4.0,2.0,1000.0,103667423,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track",Kajang New 1000sqft,Ideal Property Group,Freehold,"Taman Desa Karunmas, Selangor, Kajang",2014.0,20.0,462.0,Condominium,2.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,400000
4.0,2.0,1333.0,102314068,"Parking, Swimming Pool, Multipurpose hall, Barbeque area, Security, Jogging Track, Gymnasium","Orange 3 Condo, Bagan Ajam",Tah Wah Group,Freehold,"Jalan Pantai Bersih, Kampung Bagan Ajam, Butterworth, Penang",2016.0,15.0,139.0,Condominium,2.0,Medium,Non Bumi Lot,E,11584,REN 29651,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,430000
4.0,2.0,850.0,103106401,Playground,Pangsapuri Taman Seri Setanggi,Syarikat Perumahan Negara Berhad,Leasehold,"Off Jalan Tebrau, Taman Seri Setanggi, Johor Bahru, Johor",2014.0,5.0,462.0,Apartment,1.0,Low,Bumi Lot,E,31641,REN 42545,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,235000
3.0,3.0,1243.0,100481029,"Security, Swimming Pool, Playground, Gymnasium, Parking, Sauna, Lift",V-Residensi 5,B&G Supreme Property Sdn Bhd,Leasehold,"Jalan Kuching, Batu Caves, Selangor",2021.0,24.0,240.0,Service Residence,2.0,Medium,Non Bumi Lot,E,11714,REN 11278,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,440000
3.0,3.0,1213.0,102747048,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",V-Residensi,Avaland Berhad,Leasehold,"Jalan SH 2, Selayang Heights, Selayang, Selangor",2016.0,21.0,482.0,Condominium,2.0,Medium,Non Bumi Lot,E,11714,REN 11278,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,400000
4.0,2.0,1700.0,103610495,"Security, Playground, Swimming Pool, Parking, Lift",Kiara Park,Ideal Property Group,Freehold,"Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, Kuala Lumpur",1993.0,17.0,462.0,Condominium,2.0,High,Non Bumi Lot,E,11688,REN 45118,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,1239000
3.0,2.0,1008.0,103763228,"Multipurpose hall, Parking, Lift, Security, Playground, Swimming Pool",Kristal Villa,Ideal Property Group,Freehold,"Jalan Kajang Villa 3, Taman Kajang Villa, Kajang, Selangor",2015.0,12.0,306.0,Condominium,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,239000
3.0,3.0,1234.0,103792395,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",The Nest Residences,Nagano Development Sdn Bhd,Freehold,"Jalan Puchong, Old Klang Road, Kuala Lumpur",2019.0,36.0,618.0,Condominium,2.0,High,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,850000
3.0,2.0,1400.0,99797644,"Playground, Parking, Tennis Court, Squash Court, Minimart, Swimming Pool, Sauna, Security, Jogging Track, Lift",Frinza Court,Ideal Property Group,Freehold,"Johor Bahru, Johor Bahru, Johor",2014.0,20.0,462.0,Condominium,1.0,Medium,Non Bumi Lot,AE,31719,REN 33933,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,310000
3.0,2.0,969.0,103792198,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",The Clio 2 Residences,IOI Properties Group Berhad,Freehold,"Lebuh IRC, Putrajaya, Putrajaya",2014.0,20.0,462.0,Service Residence,2.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,482000
3.0,2.0,728.0,103792181,"Parking, Security, Lift, Playground",Desa Palma (Nilai),Ideal Property Group,Freehold,"Bandar Baru Nilai, Negeri Sembilan, Nilai, Negeri Sembilan",2014.0,20.0,462.0,Condominium,1.0,Medium,Non Bumi Lot,VE,30244,REN 22976,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,155000
2.0,2.0,753.0,103792173,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Taman Plentong Utama,Ideal Property Group,Freehold,"Jalan Bunga Daisi 8, Masai, Johor",2014.0,20.0,462.0,Flat,1.0,High,Non Bumi Lot,E,11536,REN 00000,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,158000
3.0,2.0,973.0,102879544,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Scott Towers @ Larkin JB,Andaman Group,Leasehold,"Off Jalan Datin Halimah, Larkin, Johor Bahru, Johor",2015.0,20.0,352.0,Condominium,1.0,Medium,Non Bumi Lot,E,11395,REN 37832,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,320000
3.0,1.0,888.0,101933895,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Mewah Court Cheras (Cheras Mewah),Ideal Property Group,Freehold,"Jalan Cheras Mewah 2, Taman Cheras Mewah, Cheras, Kuala Lumpur",2014.0,20.0,462.0,Apartment,1.0,Low,Non Bumi Lot,E,31612,REN 14813,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,270000
3.0,2.0,700.0,103792366,"Parking, Security, Lift, Multipurpose hall, Playground",Sri Ivory (Sri Ivori) Apartment,Ideal Property Group,Leasehold,"Solok Angsana, Bandar Baru Farlim, Ayer Itam, Penang",2014.0,25.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,240000
3.0,2.0,650.0,101005689,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Pangsapuri Arista,WCT Holding Berhad,Freehold,"Bandar Parklands, Klang, Selangor",2014.0,2.0,462.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park 1 at Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi
Park 2 at Bandar Parklands (Bandar Bukit Tinggi 3), Bandar Bukit Tinggi",Sekolah Jenis Kebangsaan (C) Wu Teck,145000
3.0,2.0,700.0,103792363,"Barbeque area, Jogging Track, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Gymnasium, Lift",Melody Homes,Belleview Group,Freehold,"Lebuhraya Thean Teik, Farlim,, Ayer Itam, Penang",2012.0,30.0,500.0,Apartment,1.0,Medium,Non Bumi Lot,E,11584,REN 22963,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,380000
2.0,2.0,703.0,103792331,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Court 28 @ KL City,HR Group,Freehold,"Jalan Kasipillay, Off Jalan Ipoh, Jalan Ipoh, Kuala Lumpur",2019.0,35.0,311.0,Service Residence,1.0,High,Non Bumi Lot,E,31508,REN 15528,"Park at Million Garden, Sentul, Kuala Lumpur, Malaysia","Sri Dhandayuthapani Primary School
Institute of Islamic Understanding Malaysia
SK Sentul Utama
SMK Sentul Utama",473000
3.0,2.0,916.0,103792329,"Minimart, Swimming Pool, Parking, Security, Playground, Gymnasium, Lift",Larkin Heights Apartment,Mahabuilders Berhad,Leasehold,"Jalan Dato Jaafar, Larkin, Johor Bahru, Johor",2016.0,22.0,328.0,Apartment,2.0,Medium,Non Bumi Lot,AE,31719,REN 33933,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,378000
3.0,2.0,961.0,103665308,"Playground, Security, Multipurpose hall, Tennis Court, Swimming Pool, Gymnasium, Jogging Track, Parking, Minimart",Greenfield Regency,Alpha Astral,Freehold,"Jalan Skudai Lama, Taman Tampoi Indah, Johor Bahru, Johor",2014.0,20.0,561.0,Apartment,1.0,Medium,Non Bumi Lot,E,11395,REN 37832,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Vikas International School,385000
